"jetzt","сейчас","-","other;theme1"
"endlich","наконец-то","-","other;theme2"
"warm","теплый","-","other;theme2"
"heiß","горячий","-","other;theme2"
"oder","или","-","other;theme3"
"viel","много","-","other;theme3"
"schnell","быстро","-","other;theme3"
"circa","примерно","-","other;theme3"
"modern","современный","-","other;theme3"
"billig","дешевый","-","other;theme3"
"alt","возрастной","-","other;theme3"
"über","больше","-","other;theme3"
"langsam","медленный","-","other;theme3"
"bunt","красочный","-","other;theme3"
"langweilig","скучный","-","other;theme3"
"lustig","смешной","-","other;theme3"
"schön","красивый","-","other;theme3"
"nur","только","-","other;theme4"
"vielleicht","возможно","-","other;theme4"
"günstig","выгодный","-","other;theme4"
"wirklich","действительно","-","other;theme4"
"doch","да нет же","-","other;theme4"
"leider","к сожалению","-","other;theme4"
"dort","там","-","other;theme4"
"toll","большой, классный","-","other;theme4"
"lange","длинный","-","other;theme5"
"oft","часто","-","other;theme5"
"manchmal","иногда","-","other;theme5"
"selten","редко","-","other;theme5"
"immer","постоянно","-","other;theme5"
"nie","никогда","-","other;theme5"
"alle","все","-","other;theme5"
"alles","всё","-","other;theme5"
"dunkel","темный","-","other;theme5"
"hell","светлый","-","other;theme5"
"kurz","короткий","-","other;theme5"
"rund","круглый","-","other;theme5"
"eckig","прямоугольный","-","other;theme5"
"hässlich","уродливый","-","other;theme5"
"leicht","легкий","-","other;theme5"
"schwer","тяжелый","-","other;theme5"
"niedrig","низкий","-","other;theme5"
"verheiratet","в браке","-","other;theme6"
"ledig","холост","-","other;theme6"
"geschieden","разведен","-","other;theme6"
"nett","хороший(милый)","-","other;theme6"
"von","из (чей-то)","-","other;theme6"
"schon","уже","-","other;theme6"
"noch","еще","-","other;theme6"
"oben","сверху","-","other;theme6"
"unten","снизу","-","other;theme6"
"hinten","сзади","-","other;theme6"
"vorn","спереди","-","other;theme6"
"links","слева","-","other;theme6"
"rechts","справа","-","other;theme6"
"etwas","немного","-","other;theme7"
"ohne","без","-","other;theme7"
"morgens","утрами","-","other;theme8"
"abends","вечерами","-","other;theme8"
"nachts","ночами","-","other;theme8"
"halb","половина(время)","-","other;theme8"
"viertel","четверть(время)","-","other;theme8"
"von, bis","с до","-","other;theme8"
"ruhig","тихо","-","other;theme8"
"morgen","завтра","-","other;theme8"
"bis","до","-","other;theme8"
"wenig","немного","-","other;theme8"
"viel/e","много","-","other;theme8"
"früh","рано","-","other;theme8"
"spät","поздно","-","other;theme8"
"meistens","в большинстве случаев","-","other;theme9"
"bei","при","-","other;theme9"
"aus","из (дома)","-","other;theme9"
"von","до (время)","-","other;theme9"
"zu","в (место)","-","other;theme9"
"zusammen","вместе","-","other;theme9"
"wohin","куда","-","other;theme9"
"seit","уже","-","other;theme9"
"jung","свежий, юный","-","other;theme9"
"beliebt","популярный","-","other;theme9"
"etwa","примерно","-","other;theme9"
"besonders","особенно","-","other;theme9"
"neugierig","любопытный","-","other;theme10"
"allein","один","-","other;theme10"
"einfach","просто","-","other;theme10"
"fertig","готовый","-","other;theme10"
"gestern","вчера","-","other;theme10"
"voll","полный","-","other;theme10"
"warum","почему","-","other;theme10"
"erfolgreich","успешный","-","other;theme10"
"zurück","назад, обратно","-","other;theme10"
"eilig","срочно","-","other;theme10"
"laut","громко","-","other;theme11"
"hart","твердый","-","other;theme11"
"danach","после этого","-","other;theme11"
"weit","далеко","-","other;theme11"
"offen\auf sein","открыт","-","other;theme11"
"geschlossen\zu sein","закрыт","-","other;theme11"
"früher","раньше","-","other;theme11"
"hinter","за","-","other;theme11"
"unter","под","-","other;theme11"
"neben","рядом","-","other;theme11"
"in","внутри","-","other;theme11"
"an","около","-","other;theme11"
"zwichen","между","-","other;theme11"
"auf","на","-","other;theme11"
"vor","перед","-","other;theme11"
"als","в качестве","-","other;theme11"
"zuerts","сначала","-","other;theme11"
"draußen","на улице","-","other;theme11"
"dick","толстый","-","other;theme12"
"ein bisschen","немного","-","other;theme12"
"gesund","здоровый","-","other;theme12"
"wahrscheinlich","вероятно","-","other;theme12"
"erkältet sein","заболевший","-","other;theme12"
"deshalb","поэтому","-","other;theme12"
"bekannt","известный","-","other;theme12"
"da","тут, здесь, потому-что","-","other;theme12"
"kalt","холодный","-","other;theme12"
"hoch","высокий","-","other;theme12"
"niedrig","низкий","-","other;theme12"
"nah","рядом","-","other;theme12"
"manch-","многие","-","other;theme13"
"freundlich","дружелюбный","-","other;theme13"
"einmal","один раз","-","other;theme13"
"bis zu","до какого-то","-","other;theme13"
"lang","долго","-","other;theme13"
"fröhlich","веселый","-","other;theme13"
"sonnig","солнечно","-","other;theme14"
"windig","ветренно","-","other;theme14"
"bewölkt","облачно","-","other;theme14"
"wunderbar","замечательный","-","other;theme14"
"auf keinen Fall","ни в коем случае","-","other;theme14"
"weiß","белый","-","other;theme14"
"gelb","желтый","-","other;theme14"
"orange","оранжевый","-","other;theme14"
"rot","красный","-","other;theme14"
"rosa","розовый","-","other;theme14"
"lila","лиловый","-","other;theme14"
"blau","синий","-","other;theme14"
"grün","зеленый","-","other;theme14"
"braun","коричневый","-","other;theme14"
"grau","серый","-","other;theme14"
"schwarz","черный","-","other;theme14"
"zufrieden","удовлетворительный","-","other;theme14"
"bedeuten","средний","-","other;theme14"
"dorthin","там","-","other;theme14"
"bar","наличкой","-","other;theme15"
"verboten","запрещенный","-","other;theme15"
"schade","жаль, досадно","-","other;theme15"
"sicher","безопасный","-","other;theme15"
"geradeaus","прямо","-","other;theme15"
"bald","скоро","-","other;theme16"
"kostenlos","бесплатно","-","other;theme16"
"frei","свободный","-","other;theme16"
"kaputt","сломаный","-","other;theme16"
"nass","мокрый","-","other;theme16"
"ähnlich","похожий, подобный","-","other;theme16"
"gleich","сейчас","-","other;theme16"
"sauber","чистый, опрятный","-","other;theme16"
"höflich","вежливый","-","other;theme2_1"
"obligatorisch","обязательный","-","other;theme2_1"
"ehrlich","честный","-","other;theme2_1"
"humorlos","лишенный юмора","-","other;theme2_1"
"fleißig","трудолюбивый","-","other;theme2_1"
"ordentlich","упорядоченный","-","other;theme2_1"
"stressig","стрессовый","-","other;theme2_1"
"hoffentlich","с надеждой","-","other;theme2_1"
"sofort","немедленно","-","other;theme2_1"
"durch","через","-","other;theme2_1"
"gegen","против","-","other;theme2_1"
"an (+Ort) vorbei","мимо (чего-то)","-","other;theme2_1"
"gegenüber von(+Ort)","напротив (чего-то)","-","other;theme2_1"
"mehrer-","несколько","-","other;theme2_1"
"unbedingt","абсолютно","-","other;theme2_1"
"weil","потому-что","-","other;theme2_2"
"besetzt (sein)","занято","-","other;theme2_2"
"nördlich von","севернее (чего-то)","-","other;theme2_2"
"östlich von","восточнее (чего-то)","-","other;theme2_2"
"südlich von","южнее (чего-то)","-","other;theme2_2"
"westlich von","западнее (чего-то)","-","other;theme2_2"
"intelligent","умный","-","other;theme2_3"
"dass",", что ….","-","other;theme2_3"
"anstrengend","изматывающий","-","other;theme2_3"
"blöd","глупый","-","other;theme2_3"
"nervös","нервный","-","other;theme2_3"
"denn","так как","-","other;theme2_3"
"genauso","точно так же","-","other;theme2_3"
"nächst","следующий","-","other;theme2_3"
"vor allem","прежде всего","-","other;theme2_3"
"auswendig","наизусть","-","other;theme2_3"
"furchtbar","ужасный","-","other;theme2_3"
"verrückt","ненормально","-","other;theme2_3"
"hübsch","хорошенькая","-","theme2_4;other"
"plötzlich","внезапно","-","theme2_4;other"
"vorher","пред","-","theme2_4;other"
"einzeln","в отдельности","-","theme2_4;other"
"normal","нормально","-","theme2_4;other"
"tief","глубоко","-","theme2_4;other"
